name,prefecture,line,x,y,postal,prev,next
東京,東京都,JR中央線,139.766103,35.681391,1000005,,神田
神田,東京都,JR中央線,139.770641,35.691173,1010044,東京,御茶ノ水
御茶ノ水,東京都,JR中央線,139.764955,35.699604,1010062,神田,水道橋
水道橋,東京都,JR中央線,139.754312,35.702039,1010061,御茶ノ水,飯田橋
飯田橋,東京都,JR中央線,139.745143,35.701835,1020072,水道橋,市ケ谷
市ケ谷,東京都,JR中央線,139.735241,35.691105,1020076,飯田橋,四ツ谷
四ツ谷,東京都,JR中央線,139.730644,35.686041,1020083,市ケ谷,信濃町
信濃町,東京都,JR中央線,139.720729,35.680031,1600012,四ツ谷,千駄ケ谷
千駄ケ谷,東京都,JR中央線,139.711644,35.681231,1510051,信濃町,代々木
代々木,東京都,JR中央線,139.702042,35.683061,1510051,千駄ケ谷,新宿
新宿,東京都,JR中央線,139.700464,35.689729,1600022,代々木,大久保
大久保,東京都,JR中央線,139.69732,35.700784,1690073,新宿,東中野
東中野,東京都,JR中央線,139.684436,35.706529,1640003,大久保,中野
中野,東京都,JR中央線,139.665835,35.705765,1640001,東中野,高円寺
高円寺,東京都,JR中央線,139.649664,35.705327,1660003,中野,阿佐ケ谷
阿佐ケ谷,東京都,JR中央線,139.635868,35.704818,1660004,高円寺,荻窪
荻窪,東京都,JR中央線,139.620109,35.704523,1670043,阿佐ケ谷,西荻窪
西荻窪,東京都,JR中央線,139.599361,35.703842,1670042,荻窪,吉祥寺
吉祥寺,東京都,JR中央線,139.579765,35.703119,1800003,西荻窪,三鷹
三鷹,東京都,JR中央線,139.560325,35.702683,1810013,吉祥寺,武蔵境
武蔵境,東京都,JR中央線,139.543402,35.702083,1800023,三鷹,東小金井
東小金井,東京都,JR中央線,139.524837,35.701643,1840002,武蔵境,武蔵小金井
武蔵小金井,東京都,JR中央線,139.506483,35.701337,1840004,東小金井,国分寺
国分寺,東京都,JR中央線,139.480841,35.700123,1850012,武蔵小金井,西国分寺
西国分寺,東京都,JR中央線,139.465994,35.699744,1850013,国分寺,国立
国立,東京都,JR中央線,139.44634,35.69923,1860001,西国分寺,立川
立川,東京都,JR中央線,139.413704,35.698202,1900023,国立,日野
日野,東京都,JR中央線,139.39393,35.679244,1910061,立川,豊田
豊田,東京都,JR中央線,139.381495,35.659502,1910053,日野,八王子
八王子,東京都,JR中央線,139.338998,35.655555,1920083,豊田,西八王子
西八王子,東京都,JR中央線,139.31264,35.656621,1930835,八王子,高尾
高尾,東京都,JR中央線,139.282288,35.642026,1930844,西八王子,
高尾,東京都,JR中央本線,139.282288,35.642026,1930844,,相模湖
相模湖,神奈川県,JR中央本線,139.1885,35.617335,2520171,高尾,藤野
藤野,神奈川県,JR中央本線,139.15239,35.615918,2520184,相模湖,上野原
上野原,山梨県,JR中央本線,139.115787,35.618747,4090113,藤野,四方津
四方津,山梨県,JR中央本線,139.072572,35.614252,4090121,上野原,梁川
梁川,山梨県,JR中央本線,139.038076,35.605271,4090503,四方津,鳥沢
鳥沢,山梨県,JR中央本線,139.003345,35.608118,4090502,梁川,猿橋
猿橋,山梨県,JR中央本線,138.968388,35.61288,4090617,鳥沢,大月
大月,山梨県,JR中央本線,138.942729,35.613222,4010013,猿橋,初狩
初狩,山梨県,JR中央本線,138.883966,35.594274,4010021,大月,笹子
笹子,山梨県,JR中央本線,138.825205,35.603921,4010025,初狩,甲斐大和
甲斐大和,山梨県,JR中央本線,138.781632,35.639364,4091203,笹子,勝沼ぶどう郷
勝沼ぶどう郷,山梨県,JR中央本線,138.74323,35.67279,4091302,甲斐大和,塩山
